Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,130.56,130.65,123.95,126.54,143301900,0.0,0.0
2021-01-05,126.04,128.82,125.59,128.11,97664900,0.0,0.0
2021-01-06,124.89,128.15,123.58,123.8,155088000,0.0,0.0
2021-01-07,125.52,128.72,125.03,128.02,109578200,0.0,0.0
2021-01-08,129.5,129.69,127.35,129.13,105158200,0.0,0.0
2021-01-11,126.33,127.29,125.65,126.12,100384500,0.0,0.0
2021-01-12,125.65,126.82,124.05,125.95,91951100,0.0,0.0
2021-01-13,125.91,128.54,125.64,127.99,88636800,0.0,0.0
2021-01-14,127.9,128.1,125.91,126.06,90221800,0.0,0.0
2021-01-15,125.93,127.34,124.19,124.32,111598500,0.0,0.0
2021-01-19,124.95,125.86,124.13,125.0,90757300,0.0,0.0
2021-01-20,125.81,129.56,125.7,129.11,104319500,0.0,0.0
2021-01-21,130.84,136.58,130.63,133.84,120150900,0.0,0.0
2021-01-22,133.26,136.75,132.03,135.99,114459400,0.0,0.0
2021-01-25,139.9,141.88,133.52,139.76,157611700,0.0,0.0
2021-01-26,140.42,141.1,138.24,139.99,98390600,0.0,0.0
2021-01-27,140.25,141.1,137.3,138.91,140843800,0.0,0.0
2021-01-28,136.43,138.85,133.67,134.05,142621100,0.0,0.0
2021-01-29,132.82,133.71,127.33,129.04,177523800,0.0,0.0
2021-02-01,130.79,132.38,128.03,131.17,106239800,0.0,0.0
2021-02-02,132.72,133.29,131.63,132.0,83305400,0.0,0.0
2021-02-03,132.75,132.76,130.65,130.97,89880900,0.0,0.0
2021-02-04,133.28,134.36,131.61,134.35,84183100,0.0,0.0
2021-02-05,134.51,134.58,133.05,133.93,75693800,0.2,0.0
2021-02-08,133.22,134.13,132.13,134.08,71297200,0.0,0.0
2021-02-09,133.79,135.03,133.04,133.2,76774200,0.0,0.0
2021-02-10,133.66,134.16,131.62,132.59,73046600,0.0,0.0
2021-02-11,133.09,133.57,131.0,132.34,64280000,0.0,0.0
2021-02-12,131.57,132.73,130.92,132.57,60145100,0.0,0.0
2021-02-16,132.69,133.2,130.04,130.44,80576300,0.0,0.0
2021-02-17,128.54,129.49,126.79,128.13,97918500,0.0,0.0
2021-02-18,126.53,127.31,124.77,127.03,96856700,0.0,0.0
2021-02-19,127.55,128.01,126.14,127.18,87668800,0.0,0.0
2021-02-22,125.36,127.04,123.0,123.39,103916400,0.0,0.0
2021-02-23,121.2,124.09,115.94,123.26,158273000,0.0,0.0
2021-02-24,122.36,122.96,119.7,122.76,111039900,0.0,0.0
2021-02-25,122.1,123.84,118.05,118.49,148199500,0.0,0.0
2021-02-26,120.05,122.27,118.69,118.75,164560400,0.0,0.0
2021-03-01,121.19,125.28,120.25,125.15,116307900,0.0,0.0
2021-03-02,125.75,126.06,122.42,122.53,102260900,0.0,0.0
2021-03-03,122.23,123.11,119.32,119.54,112966300,0.0,0.0
2021-03-04,119.23,121.04,116.17,117.65,178155000,0.0,0.0
2021-03-05,118.48,119.42,115.14,118.91,153766600,0.0,0.0
2021-03-08,118.43,118.5,113.81,113.95,154376600,0.0,0.0
2021-03-09,116.57,119.54,116.33,118.59,129525800,0.0,0.0
2021-03-10,119.17,119.64,116.98,117.5,111943300,0.0,0.0
2021-03-11,120.01,120.66,118.75,119.44,103026500,0.0,0.0
2021-03-12,117.91,118.66,116.7,118.53,88105100,0.0,0.0
2021-03-15,118.9,121.44,117.93,121.43,92403800,0.0,0.0
2021-03-16,123.1,124.59,122.14,122.97,115227900,0.0,0.0
2021-03-17,121.48,123.26,119.81,122.18,111932600,0.0,0.0
2021-03-18,120.34,120.63,117.83,118.04,121229700,0.0,0.0
2021-03-19,117.42,118.92,117.2,117.51,185549500,0.0,0.0
2021-03-22,117.84,121.31,117.77,120.84,111912300,0.0,0.0
2021-03-23,120.78,121.67,119.61,120.01,95467100,0.0,0.0
2021-03-24,120.28,120.36,117.59,117.61,88530500,0.0,0.0
2021-03-25,117.07,119.14,116.54,118.1,98844700,0.0,0.0
2021-03-26,117.86,118.97,116.46,118.7,94071200,0.0,0.0
2021-03-29,119.13,120.04,118.23,118.88,80819200,0.0,0.0
2021-03-30,117.63,117.91,116.4,117.42,85671900,0.0,0.0
2021-03-31,119.13,120.97,118.64,119.62,118323800,0.0,0.0
2021-04-01,121.1,121.61,119.96,120.46,75089100,0.0,0.0
2021-04-05,121.31,123.55,120.52,123.3,88651200,0.0,0.0
2021-04-06,123.88,124.5,123.05,123.6,80171300,0.0,0.0
2021-04-07,123.23,125.27,122.55,125.25,83466700,0.0,0.0
2021-04-08,126.28,127.69,125.86,127.66,88844600,0.0,0.0
2021-04-09,127.12,130.29,126.79,130.25,106686700,0.0,0.0
2021-04-12,129.78,130.1,127.93,128.53,91420000,0.0,0.0
2021-04-13,129.7,131.87,129.2,131.65,91266500,0.0,0.0
2021-04-14,132.15,132.21,128.94,129.3,87222800,0.0,0.0
2021-04-15,131.05,132.21,130.88,131.72,89347100,0.0,0.0
2021-04-16,131.52,131.88,130.52,131.39,84922400,0.0,0.0
2021-04-19,130.75,132.67,130.58,132.05,94264200,0.0,0.0
2021-04-20,132.23,132.73,129.08,130.36,94812300,0.0,0.0
2021-04-21,129.62,130.98,128.58,130.74,68847100,0.0,0.0
2021-04-22,130.29,131.38,128.69,129.21,84566500,0.0,0.0
2021-04-23,129.43,132.33,129.43,131.54,78657500,0.0,0.0
2021-04-26,132.04,132.27,130.8,131.93,66905100,0.0,0.0
2021-04-27,132.22,132.61,131.34,131.61,66015800,0.0,0.0
2021-04-28,131.53,132.23,130.33,130.82,107760100,0.0,0.0
2021-04-29,133.65,134.23,129.71,130.72,151101000,0.0,0.0
2021-04-30,129.05,130.8,128.36,128.74,109839500,0.0,0.0
2021-05-03,129.31,131.3,129.1,129.8,75135100,0.0,0.0
2021-05-04,128.48,128.77,124.08,125.21,137564700,0.0,0.0
2021-05-05,126.53,127.75,125.32,125.45,84000900,0.0,0.0
2021-05-06,125.24,127.07,124.5,127.06,78128300,0.0,0.0
2021-05-07,128.36,128.76,127.02,127.73,78973300,0.22,0.0
2021-05-10,126.95,127.08,124.4,124.44,88071200,0.0,0.0
2021-05-11,121.15,123.87,120.43,123.52,126142800,0.0,0.0
2021-05-12,121.05,122.27,119.92,120.43,112172300,0.0,0.0
2021-05-13,122.21,123.75,121.9,122.59,105861300,0.0,0.0
2021-05-14,123.85,125.46,123.46,125.03,81918000,0.0,0.0
2021-05-17,124.41,124.52,122.79,123.87,74244600,0.0,0.0
2021-05-18,124.15,124.57,122.41,122.48,63342900,0.0,0.0
2021-05-19,120.82,122.54,120.52,122.32,92612000,0.0,0.0
2021-05-20,122.85,125.29,122.72,124.89,76857100,0.0,0.0
2021-05-21,125.39,125.57,122.83,123.04,79295400,0.0,0.0
2021-05-24,123.61,125.51,123.54,124.68,63092900,0.0,0.0
2021-05-25,125.39,125.88,123.92,124.49,72009500,0.0,0.0
2021-05-26,124.55,124.97,124.02,124.44,56575900,0.0,0.0
2021-05-27,124.04,125.21,122.7,122.9,94625600,0.0,0.0
2021-05-28,123.18,123.41,122.18,122.24,71311100,0.0,0.0
2021-06-01,122.7,122.97,121.58,121.92,67637100,0.0,0.0
2021-06-02,121.92,122.86,121.69,122.68,59278900,0.0,0.0
2021-06-03,122.31,122.48,120.79,121.19,76229200,0.0,0.0
2021-06-04,121.71,123.76,121.49,123.5,75169300,0.0,0.0
2021-06-07,123.77,123.92,122.46,123.51,71057600,0.0,0.0
2021-06-08,124.19,126.02,123.81,124.33,74403800,0.0,0.0
2021-06-09,124.79,125.32,124.11,124.71,56877900,0.0,0.0
2021-06-10,124.6,125.75,123.54,123.71,71186400,0.0,0.0
2021-06-11,124.12,125.02,123.7,124.93,53522400,0.0,0.0
2021-06-14,125.39,128.06,124.65,128.0,96906500,0.0,0.0
2021-06-15,127.47,128.12,126.93,127.17,62746300,0.0,0.0
2021-06-16,127.89,128.4,126.02,127.67,91815000,0.0,0.0
2021-06-17,127.33,130.03,127.18,129.28,96721700,0.0,0.0
2021-06-18,128.22,129.01,127.76,127.98,108953300,0.0,0.0
2021-06-21,127.82,129.89,126.75,129.78,79663300,0.0,0.0
2021-06-22,129.62,131.53,129.12,131.43,74783600,0.0,0.0
2021-06-23,131.23,131.77,130.7,131.16,60214200,0.0,0.0
2021-06-24,131.89,132.08,130.4,130.87,68711000,0.0,0.0
2021-06-25,130.92,131.34,130.28,130.58,70783700,0.0,0.0
2021-06-28,130.87,132.68,130.81,132.22,62111300,0.0,0.0
2021-06-29,132.24,133.89,131.79,133.74,64556100,0.0,0.0
2021-06-30,133.58,134.8,133.29,134.35,63261400,0.0,0.0
2021-07-01,134.0,134.72,133.18,134.66,52485800,0.0,0.0
2021-07-02,135.28,137.34,135.13,137.3,78852600,0.0,0.0
2021-07-06,137.41,140.43,137.41,139.32,108181800,0.0,0.0
2021-07-07,140.81,142.13,139.95,141.82,104911600,0.0,0.0
2021-07-08,138.89,141.32,137.99,140.52,105575500,0.0,0.0
2021-07-09,140.03,142.88,139.94,142.35,99890800,0.0,0.0
2021-07-12,143.43,143.54,141.26,141.75,76299700,0.0,0.0
2021-07-13,141.29,144.66,140.9,142.87,100827100,0.0,0.0
2021-07-14,145.28,146.73,144.87,146.31,127050800,0.0,0.0
2021-07-15,146.4,147.15,144.29,145.66,106820300,0.0,0.0
2021-07-16,145.64,146.91,143.11,143.61,93251400,0.0,0.0
2021-07-19,141.02,141.33,138.98,139.74,121434600,0.0,0.0
2021-07-20,140.73,144.3,140.24,143.37,96350000,0.0,0.0
2021-07-21,142.76,143.35,141.88,142.63,74993500,0.0,0.0
2021-07-22,143.16,145.38,143.04,144.01,77338200,0.0,0.0
2021-07-23,144.74,145.89,144.13,145.73,71447400,0.0,0.0
2021-07-26,145.45,146.98,144.89,146.16,72434100,0.0,0.0
2021-07-27,146.28,146.37,142.78,143.98,104818600,0.0,0.0
2021-07-28,142.06,144.17,139.83,142.22,118931200,0.0,0.0
2021-07-29,141.94,143.76,141.83,142.87,56699500,0.0,0.0
2021-07-30,141.63,143.55,141.37,143.09,70440600,0.0,0.0
2021-08-02,143.58,144.15,142.49,142.75,62880000,0.0,0.0
2021-08-03,143.04,145.22,142.42,144.56,64786600,0.0,0.0
2021-08-04,144.47,144.98,143.5,144.15,56368300,0.0,0.0
2021-08-05,144.18,145.03,143.39,144.26,46397700,0.0,0.0
2021-08-06,143.78,144.53,143.07,143.58,54126800,0.22,0.0
2021-08-09,143.63,144.13,142.97,143.53,48908700,0.0,0.0
2021-08-10,143.87,145.12,142.75,143.04,69023100,0.0,0.0
2021-08-11,143.49,144.14,142.98,143.3,48493500,0.0,0.0
2021-08-12,143.62,146.43,143.28,146.28,72282600,0.0,0.0
2021-08-13,146.36,146.82,145.67,146.48,59375000,0.0,0.0
2021-08-16,145.93,148.54,143.9,148.47,103296000,0.0,0.0
2021-08-17,147.59,149.02,146.47,147.55,92229700,0.0,0.0
2021-08-18,147.17,148.07,143.58,143.79,86326000,0.0,0.0
2021-08-19,142.48,145.4,141.96,144.13,86960300,0.0,0.0
2021-08-20,144.85,145.89,144.2,145.59,60549600,0.0,0.0
2021-08-23,145.71,147.55,145.29,147.08,60131800,0.0,0.0
2021-08-24,146.83,148.21,146.53,146.99,48606400,0.0,0.0
2021-08-25,147.18,147.68,145.21,145.76,58991300,0.0,0.0
2021-08-26,145.75,146.5,144.92,144.95,48597200,0.0,0.0
2021-08-27,144.89,146.14,144.25,145.99,55802400,0.0,0.0
2021-08-30,146.38,150.8,146.0,150.43,90956700,0.0,0.0
2021-08-31,149.98,150.12,148.63,149.17,86453100,0.0,0.0
2021-09-01,150.15,152.26,149.67,149.83,80313700,0.0,0.0
2021-09-02,151.17,152.0,149.73,150.95,71115500,0.0,0.0
2021-09-03,151.06,151.92,150.4,151.59,57808700,0.0,0.0
2021-09-07,152.25,154.5,151.68,153.94,82278300,0.0,0.0
2021-09-08,154.22,154.28,151.28,152.39,74420200,0.0,0.0
2021-09-09,152.76,153.37,151.25,151.37,57305700,0.0,0.0
2021-09-10,152.28,152.75,146.09,146.36,140893200,0.0,0.0
2021-09-13,147.99,148.76,146.14,146.93,102404300,0.0,0.0
2021-09-14,147.71,148.42,144.33,145.52,109296300,0.0,0.0
2021-09-15,145.95,146.82,143.8,146.41,83281300,0.0,0.0
2021-09-16,145.83,146.36,144.64,146.18,68034100,0.0,0.0
2021-09-17,146.21,146.21,143.2,143.5,129868800,0.0,0.0
2021-09-20,141.28,142.3,138.79,140.43,123478900,0.0,0.0
2021-09-21,141.4,142.06,140.27,140.91,75834000,0.0,0.0
2021-09-22,141.91,143.86,141.18,143.29,76404300,0.0,0.0
2021-09-23,144.08,144.5,143.08,144.25,64838200,0.0,0.0
2021-09-24,143.1,144.88,143.01,144.34,53477900,0.0,0.0
2021-09-27,142.92,143.4,141.3,142.82,74150700,0.0,0.0
2021-09-28,140.74,142.21,139.2,139.42,108972300,0.0,0.0
2021-09-29,139.97,141.91,139.54,140.32,74602000,0.0,0.0
2021-09-30,141.14,141.85,138.8,139.02,89056700,0.0,0.0
2021-10-01,139.41,140.41,136.67,140.15,94639600,0.0,0.0
2021-10-04,139.27,139.71,135.84,136.7,98322000,0.0,0.0
2021-10-05,137.04,139.74,136.91,138.63,80861100,0.0,0.0
2021-10-06,137.02,139.66,135.94,139.51,83221100,0.0,0.0
2021-10-07,140.55,141.69,140.22,140.78,61732700,0.0,0.0
2021-10-08,141.5,141.65,140.06,140.39,58773200,0.0,0.0
2021-10-11,139.77,142.27,139.32,140.3,64452200,0.0,0.0
2021-10-12,140.72,140.74,138.56,139.03,73035900,0.0,0.0
2021-10-13,138.76,138.92,136.76,138.44,78762700,0.0,0.0
2021-10-14,139.62,141.35,139.03,141.24,69907100,0.0,0.0
2021-10-15,141.25,142.36,140.99,142.3,67940300,0.0,0.0
2021-10-18,140.93,144.26,140.65,143.98,85589200,0.0,0.0
2021-10-19,144.43,146.55,143.98,146.15,76378900,0.0,0.0
2021-10-20,146.09,147.12,145.52,146.64,58418800,0.0,0.0
2021-10-21,146.2,147.01,145.27,146.86,61421000,0.0,0.0
2021-10-22,147.06,147.54,146.03,146.08,58883400,0.0,0.0
2021-10-25,146.07,146.75,145.03,146.03,50720600,0.0,0.0
2021-10-26,146.71,148.19,146.39,146.7,60893400,0.0,0.0
2021-10-27,146.74,147.1,145.88,146.24,56094900,0.0,0.0
2021-10-28,147.19,150.48,147.09,149.89,100077900,0.0,0.0
2021-10-29,144.64,147.31,143.84,147.17,124953200,0.0,0.0
2021-11-01,146.38,147.07,145.21,146.35,74588300,0.0,0.0
2021-11-02,146.05,148.91,146.04,147.39,69122000,0.0,0.0
2021-11-03,147.75,149.3,147.19,148.83,54511500,0.0,0.0
2021-11-04,148.92,149.75,148.0,148.31,60394600,0.0,0.0
2021-11-05,149.44,149.75,147.64,148.84,65463900,0.22,0.0
2021-11-08,148.97,149.13,147.74,148.02,55020900,0.0,0.0
2021-11-09,147.78,148.99,147.64,148.38,56787900,0.0,0.0
2021-11-10,147.6,147.71,145.47,145.54,65187100,0.0,0.0
2021-11-11,146.56,147.02,145.3,145.49,41000000,0.0,0.0
2021-11-12,146.04,147.98,145.1,147.57,63804000,0.0,0.0
2021-11-15,147.95,149.43,147.02,147.58,59222800,0.0,0.0
2021-11-16,147.52,149.05,146.93,148.57,59256200,0.0,0.0
2021-11-17,148.57,152.5,148.56,151.02,88807000,0.0,0.0
2021-11-18,151.23,156.11,150.58,155.33,137827700,0.0,0.0
2021-11-19,155.11,158.42,154.01,157.96,117305600,0.0,0.0
2021-11-22,159.07,163.03,158.41,158.42,117467900,0.0,0.0
2021-11-23,158.52,159.19,156.5,158.81,96041900,0.0,0.0
2021-11-24,158.16,159.53,157.07,159.33,69463600,0.0,0.0
2021-11-26,157.0,157.86,153.84,154.28,76959800,0.0,0.0
2021-11-29,156.8,158.59,156.23,157.66,88748200,0.0,0.0
2021-11-30,157.41,162.85,157.34,162.64,174048100,0.0,0.0
2021-12-01,164.78,167.56,161.88,162.11,152052500,0.0,0.0
2021-12-02,156.18,161.55,155.26,161.12,136739200,0.0,0.0
2021-12-03,161.38,162.3,157.15,159.23,118023100,0.0,0.0
2021-12-06,161.64,165.17,161.63,162.66,107497000,0.0,0.0
2021-12-07,166.35,168.81,165.63,168.42,120405400,0.0,0.0
2021-12-08,169.36,173.12,167.95,172.26,116998900,0.0,0.0
2021-12-09,172.09,173.9,171.12,171.75,108923700,0.0,0.0
2021-12-10,172.39,176.73,171.87,176.56,115402700,0.0,0.0
2021-12-13,178.2,179.19,172.7,172.91,153237000,0.0,0.0
2021-12-14,172.43,174.88,169.43,171.52,139380400,0.0,0.0
2021-12-15,172.29,176.61,169.53,176.41,131063300,0.0,0.0
2021-12-16,176.39,178.22,168.0,169.48,150185800,0.0,0.0
2021-12-17,167.19,170.67,166.96,168.38,195432700,0.0,0.0
2021-12-20,165.57,167.83,164.76,167.01,107499100,0.0,0.0
2021-12-21,168.79,170.41,166.39,170.2,91185900,0.0,0.0
2021-12-22,170.25,173.03,169.38,172.81,92135300,0.0,0.0
2021-12-23,173.02,174.0,172.45,173.44,68356600,0.0,0.0
2021-12-27,174.24,177.51,174.22,177.42,74919600,0.0,0.0
2021-12-28,177.26,178.41,175.65,176.4,79144300,0.0,0.0
2021-12-29,176.44,177.72,175.27,176.49,62348900,0.0,0.0
2021-12-30,176.58,177.66,175.22,175.33,59773000,0.0,0.0
2021-12-31,175.22,176.34,174.4,174.71,64062300,0.0,0.0
2022-01-03,174.96,179.93,174.85,179.08,104487900,0.0,0.0
2022-01-04,179.69,179.99,176.23,176.8,99310400,0.0,0.0
2022-01-05,176.72,177.27,171.83,172.1,94537600,0.0,0.0
2022-01-06,169.92,172.47,168.87,169.23,96904000,0.0,0.0
2022-01-07,170.1,171.33,168.27,169.4,86709100,0.0,0.0
2022-01-10,166.35,169.72,165.46,169.41,106765600,0.0,0.0
2022-01-11,169.54,172.36,168.07,172.26,76138300,0.0,0.0
2022-01-12,173.28,174.32,172.0,172.7,74805200,0.0,0.0
2022-01-13,172.95,173.77,169.02,169.41,84505800,0.0,0.0
2022-01-14,168.58,170.98,168.33,170.28,80440800,0.0,0.0
2022-01-18,168.75,169.76,166.68,167.06,90956700,0.0,0.0
2022-01-19,167.26,168.32,163.27,163.55,94815000,0.0,0.0
2022-01-20,164.29,166.95,161.53,161.86,91420500,0.0,0.0
2022-01-21,161.77,163.65,159.68,159.79,122848900,0.0,0.0
2022-01-24,157.44,159.68,152.21,159.02,162294600,0.0,0.0
2022-01-25,156.42,160.14,154.49,157.2,115798400,0.0,0.0
2022-01-26,160.86,161.74,155.28,157.12,108275300,0.0,0.0
2022-01-27,159.83,161.2,155.73,156.65,121954600,0.0,0.0
2022-01-28,163.04,167.6,160.18,167.58,179935700,0.0,0.0
2022-01-31,167.42,172.18,166.78,171.96,115541600,0.0,0.0
2022-02-01,171.21,172.02,169.53,171.8,86213900,0.0,0.0
2022-02-02,171.93,173.05,170.54,173.01,84914300,0.0,0.0
2022-02-03,171.67,173.4,169.35,170.11,89418100,0.0,0.0
2022-02-04,169.13,171.51,168.14,169.83,82465400,0.22,0.0
2022-02-07,170.29,171.36,168.41,169.11,77251200,0.0,0.0
2022-02-08,169.18,172.74,168.88,172.23,74829200,0.0,0.0
2022-02-09,173.43,174.02,172.3,173.66,71285000,0.0,0.0
2022-02-10,171.55,172.87,169.0,169.56,90865900,0.0,0.0
2022-02-11,169.77,170.51,165.54,166.13,98670700,0.0,0.0
2022-02-14,164.88,167.06,164.08,166.37,86185500,0.0,0.0
2022-02-15,168.43,170.38,167.72,170.22,62527400,0.0,0.0
2022-02-16,169.3,170.76,167.52,169.99,61177400,0.0,0.0
2022-02-17,168.49,169.35,165.97,166.37,69589300,0.0,0.0
2022-02-18,167.3,168.01,163.72,164.81,82772700,0.0,0.0
2022-02-22,162.53,164.21,159.74,161.88,91162800,0.0,0.0
2022-02-23,163.08,163.68,157.38,157.69,90009200,0.0,0.0
2022-02-24,150.31,160.43,149.74,160.32,141147500,0.0,0.0
2022-02-25,161.4,162.67,158.48,162.4,91974200,0.0,0.0
2022-02-28,160.64,162.96,160.02,162.67,95056600,0.0,0.0
2022-03-01,162.25,164.12,159.56,160.77,83474400,0.0,0.0
2022-03-02,161.95,164.87,160.53,164.08,79724800,0.0,0.0
2022-03-03,165.97,166.4,163.09,163.76,76678400,0.0,0.0
2022-03-04,162.05,163.09,159.69,160.74,83737200,0.0,0.0
2022-03-07,160.93,162.57,156.68,156.93,96418800,0.0,0.0
2022-03-08,156.46,160.46,153.48,155.1,131148300,0.0,0.0
2022-03-09,159.08,160.98,157.04,160.53,91454900,0.0,0.0
2022-03-10,157.82,158.01,153.66,156.16,105342000,0.0,0.0
2022-03-11,156.57,156.91,152.2,152.43,96970100,0.0,0.0
2022-03-14,149.2,151.83,147.87,148.38,108732100,0.0,0.0
2022-03-15,148.66,153.26,148.14,152.78,92964300,0.0,0.0
2022-03-16,154.72,157.62,152.16,157.22,102300200,0.0,0.0
2022-03-17,156.25,158.61,155.29,158.23,75615400,0.0,0.0
2022-03-18,158.12,162.04,157.39,161.54,123511700,0.0,0.0
2022-03-21,161.08,163.88,160.59,162.92,95811400,0.0,0.0
2022-03-22,163.05,166.9,162.46,166.31,81532000,0.0,0.0
2022-03-23,165.49,170.07,165.16,167.68,98062700,0.0,0.0
2022-03-24,168.52,171.55,167.68,171.48,90131400,0.0,0.0
2022-03-25,171.3,172.67,170.18,172.12,80546200,0.0,0.0
2022-03-28,169.61,173.12,169.44,172.99,90371900,0.0,0.0
2022-03-29,174.06,176.35,173.72,176.3,100589400,0.0,0.0
2022-03-30,175.9,176.94,174.07,175.13,92633200,0.0,0.0
2022-03-31,175.2,175.38,171.81,172.01,103049300,0.0,0.0
2022-04-01,171.44,172.28,169.38,171.72,78751300,0.0,0.0
2022-04-04,171.98,175.84,171.85,175.79,76468400,0.0,0.0
2022-04-05,174.86,175.65,171.83,172.46,73401800,0.0,0.0
2022-04-06,169.8,171.05,167.6,169.28,89058800,0.0,0.0
2022-04-07,168.62,170.78,167.33,169.58,77594700,0.0,0.0
2022-04-08,169.23,169.23,166.69,167.56,76575500,0.0,0.0
2022-04-11,166.2,166.52,163.04,163.29,72246700,0.0,0.0
2022-04-12,165.52,167.35,164.16,165.17,79265200,0.0,0.0
2022-04-13,164.9,168.5,164.29,167.87,70618900,0.0,0.0
2022-04-14,168.08,168.72,162.59,162.83,75329400,0.0,0.0
2022-04-18,161.48,164.12,161.14,162.62,69023900,0.0,0.0
2022-04-19,162.57,165.33,161.47,164.91,67723800,0.0,0.0
2022-04-20,166.25,166.37,163.63,164.74,67929800,0.0,0.0
2022-04-21,166.4,168.98,163.44,163.95,87227800,0.0,0.0
2022-04-22,163.99,165.37,159.1,159.39,84882400,0.0,0.0
2022-04-25,158.73,160.74,156.1,160.46,96046400,0.0,0.0
2022-04-26,159.84,159.93,154.39,154.47,95623200,0.0,0.0
2022-04-27,153.59,157.41,153.07,154.24,88063200,0.0,0.0
2022-04-28,156.88,162.07,156.57,161.21,130216800,0.0,0.0
2022-04-29,159.43,163.73,154.91,155.31,131747600,0.0,0.0
2022-05-02,154.38,155.88,150.99,155.61,123055300,0.0,0.0
2022-05-03,155.8,158.32,154.0,157.11,88966500,0.0,0.0
2022-05-04,157.3,164.01,156.89,163.55,108256500,0.0,0.0
2022-05-05,161.41,161.64,152.65,154.44,130525300,0.0,0.0
2022-05-06,153.92,157.3,152.11,155.17,116124600,0.23,0.0
2022-05-09,152.85,153.74,149.46,150.02,131577900,0.0,0.0
2022-05-10,153.43,154.64,150.88,152.44,115366700,0.0,0.0
2022-05-11,151.44,153.36,143.85,144.53,142689800,0.0,0.0
2022-05-12,140.85,144.24,136.94,140.65,182602000,0.0,0.0
2022-05-13,142.65,146.11,141.19,145.14,113990900,0.0,0.0
2022-05-16,143.6,145.54,142.25,143.59,86643800,0.0,0.0
2022-05-17,146.86,147.76,144.71,147.24,78336300,0.0,0.0
2022-05-18,144.88,145.38,138.02,138.93,109742900,0.0,0.0
2022-05-19,138.0,139.76,134.77,135.51,136095600,0.0,0.0
2022-05-20,137.22,138.81,130.83,135.74,137426100,0.0,0.0
2022-05-23,135.94,141.34,135.8,141.19,117726300,0.0,0.0
2022-05-24,138.92,140.07,135.49,138.48,104132700,0.0,0.0
2022-05-25,136.57,139.89,136.48,138.63,92482700,0.0,0.0
2022-05-26,135.55,142.4,135.3,141.85,90601500,0.0,0.0
2022-05-27,143.44,147.67,143.31,147.63,90978500,0.0,0.0
2022-05-31,147.07,148.64,144.87,146.84,103718400,0.0,0.0
2022-06-01,147.89,149.7,145.7,146.71,74286600,0.0,0.0
2022-06-02,145.85,149.24,144.89,149.18,72348100,0.0,0.0
2022-06-03,144.93,145.98,142.52,143.43,88570300,0.0,0.0
2022-06-06,145.06,146.58,142.96,144.18,71598400,0.0,0.0
2022-06-07,142.41,147.0,142.17,146.71,67808200,0.0,0.0
2022-06-08,146.59,147.86,145.48,145.97,53950200,0.0,0.0
2022-06-09,145.11,145.97,140.62,140.73,69473000,0.0,0.0
2022-06-10,138.4,138.87,135.22,135.29,91437900,0.0,0.0
2022-06-13,131.09,133.39,129.68,130.11,122207100,0.0,0.0
2022-06-14,131.34,132.09,129.72,130.98,84784300,0.0,0.0
2022-06-15,132.49,135.5,130.39,133.61,91533000,0.0,0.0
2022-06-16,130.31,130.61,127.31,128.32,108123900,0.0,0.0
2022-06-17,128.33,131.29,128.07,129.8,134520300,0.0,0.0
2022-06-21,131.63,135.22,131.53,134.05,81000500,0.0,0.0
2022-06-22,132.98,135.91,132.11,133.53,73409200,0.0,0.0
2022-06-23,134.98,136.73,133.81,136.41,72433800,0.0,0.0
2022-06-24,138.02,140.01,137.89,139.76,89116800,0.0,0.0
2022-06-27,140.79,141.56,139.08,139.76,70207900,0.0,0.0
2022-06-28,140.22,141.5,135.48,135.6,67083400,0.0,0.0
2022-06-29,135.62,138.78,134.84,137.36,66242400,0.0,0.0
